id,name,jenis,rayon_code,korlap,gps_lat,gps_lng
3c5aad5c-600a-5134-8bc5-c8ffc9e4926e,Jl. Alun Alun Contong,street,PUSAT,,-7.25172029,112.73657071
04041d77-de84-5fcd-b84e-1efc53e8d7a2,Jl. Ambengan,street,PUSAT,,-7.25616100,112.75389552
100ee1bf-8415-5b10-95fd-8bac5a0b9abd,Jl. Ambengan,street,PUSAT,,-7.25606631,112.75348769
2fd1bf24-77a0-5ea1-866d-b1866d6fc198,Jl. Ambengan,street,PUSAT,,-7.25621063,112.75333728
a626c029-6535-5a92-a379-1087623530ef,Jl. Anggrek,street,PUSAT,,-7.26231948,112.75179112
65d32487-4464-594a-94b0-9a3b8cdb52c9,Jl. Anjasmoro,street,PUSAT,,-7.25909472,112.73187468
a4da6231-5dfa-57c9-9903-22a734849fb8,Jl. Arjuno Dari Sisi Selatan Pulau 1 (Depan Apotek Mandiri),street,PUSAT,,-7.26791636,112.72855841
604f6ced-1a1a-51f2-89c3-b18641a2693c,Jl. Arjuno Dari Sisi Selatan Pulau 2 (Depan Puskesmas),street,PUSAT,,-7.26414764,112.72696889
e0e3da63-434b-5ee4-a635-397e0013d350,Jl. Arjuno Dari Sisi Selatan Pulau 3 (Depan Gereja),street,PUSAT,,-7.26066289,112.72693779
a98337c8-badd-57c0-9941-b116c50a9e91,Jl. Arjuno Dari Sisi Selatan Pulau 4 (Depan Pengadilan),street,PUSAT,,-7.25897020,112.72717203
42753f66-bf90-5e53-9c75-3d4cb455f427,Jl. Arjuno Dari Sisi Selatan Pulau 5 (Depan Pom Bensin),street,PUSAT,,-7.25748817,112.72738954
8fe2fb04-c0c0-5478-8733-c4eff5e65f13,Jl. Arjuno Dari Sisi Selatan Pulau 6 (Depan Bank BRI),street,PUSAT,,-7.25653421,112.72751954
4cf56a77-dc59-54d3-b8b7-6306c96a506b,Jl. Bagong Tambangan - Retonde,street,PUSAT,,-7.27694398,112.74516099
06e7edeb-21fb-504b-8386-b2468a42fa7b,Jl. Basuki Rahmat Pedestrian,pedestrian,PUSAT,,-7.27090571,112.74172869
9086f898-ce14-5637-9b01-a5bfbd1139e9,Jl. Basuki Rahmat Pedestrian,pedestrian,PUSAT,,-7.27029620,112.74148160
5e12ca62-536f-55a2-a189-f21345ac9078,Jl. Bengawan,street,PUSAT,,-7.29062557,112.74142541
fc08febc-1e62-57be-8934-32c109a62819,Jl. Biliton,street,PUSAT,,-7.27483646,112.74964889
ea043482-831b-5027-a5cb-3c2114290944,Jl. Bintoro - Retonde,street,PUSAT,,-7.28593203,112.73766152
5ff95d75-f174-53a6-adeb-f0a2d03a74fe,Jl. Bodri,street,PUSAT,,-7.28797737,112.73098175
1d4fe03d-09b3-5875-83d9-385d56880fa9,Jl. Boulverad,street,PUSAT,,-7.26396626,112.74807576
4d1a9f0a-c95f-52a2-958c-be9e94589e5e,Jl. Bubutan - Pulau 1 (Depan Jl. Koblen),street,PUSAT,,-7.25438070,112.73439487
775d4a58-99dc-586f-b197-ac275af6fb07,Jl. Bubutan - Pulau 2 (Depan Pom Bensin),street,PUSAT,,-7.25319791,112.73483992
4c267aec-15e0-53d7-8c04-ea66654897f5,Jl. Bubutan - Pulau 3 (Depan Gereja),street,PUSAT,,-7.25186614,112.73529154
30e07978-0bc6-54da-9ae4-abb14c8ae7c4,Jl. Bubutan - Pulau 4 (Depan Polsek Raden Saleh),street,PUSAT,,-7.25087663,112.73567006
3ae7f4c1-4836-5cc8-897a-3c9ca04bb74a,Jl. Bubutan - Pulau 5 (Depan GNI),street,PUSAT,,-7.24986537,112.73597824
afc115a9-1c44-538c-b6d6-12e4f39e4179,Jl. Bubutan - Pulau 6 (Depan Tokoh Alat Berat),street,PUSAT,,-7.24894207,112.73625494
09b05678-d5ab-5d1f-becd-0db49c9e28db,Jl. Bunguran,street,PUSAT,,-7.24417750,112.74732121
50673ce1-2578-51cd-bef8-cb96aacf4b5e,Jl. Bunguran,street,PUSAT,,-7.24417900,112.74741851
30016634-eedd-5ef6-b9b7-e788b44d9524,Jl. Darmo Kali,street,PUSAT,,-7.28884107,112.74370008
3037514f-51cf-5aa9-a2b8-aad2eb3f4f23,Jl. Dinoyo Tenun,street,PUSAT,,-7.28566137,112.74671001
bc737137-48dc-5afd-8f58-9e2f5ec367fa,Jl. Diponegoro - Pulau 1 (Depan musium BI),street,PUSAT,,-7.29510936,112.73869112
134732ee-9ddf-5762-83e0-2032eac4ab73,Jl. Diponegoro - Pulau 2 (Depan Hotel Oval),street,PUSAT,,-7.29320241,112.73767257
66830b17-782a-55f0-b90a-15e36a892f83,Jl. Diponegoro - Pulau 3 (Depan RS William Boot / RKZ),street,PUSAT,,-7.29115370,112.73667109
759bf186-e1e2-5f18-a659-7d90fd9a5762,Jl. Diponegoro - Pulau 4 (Depan Tokoh Eiger),street,PUSAT,,-7.28909958,112.73565019
18fc9805-8dd4-58cf-a794-e62f1c76ec13,Jl. Diponegoro - Pulau 5 (Depan Telkomsel),street,PUSAT,,-7.28720101,112.73468501
